n0,t,n5,n5expected
0.500,1.000,0,0.5
10.000,1.100,0,16.105100000000004
0.500,1.100,0.1689,0.8052550000000004
10.000,1.000,0,10.0
0.500,1.500,0.5,3.796875
0.100,2.000,0.4996,3.2
0.500,1.500,0.9485,3.796875
0.500,3.000,1.797,121.5
0.500,3.000,1.0,121.5
1.717,1.121,0,3.0394734779214247
0.679,1.636,0.5353,7.957676334625044
4.593,1.357,0,21.134680347981572
0.076,0.364,0.0004,0.00048564677660262396
2.759,2.018,1.4463,92.3331198010211
1.047,1.071,1.4753,1.475346517348165
1.728,2.909,1.0672,359.9667146777935
0.291,2.182,0.5298,14.393510211577508
0.307,0.727,0.0138,0.06234626336536894
6.418,1.155,0,13.191969358965997
0.648,1.455,0.2823,4.2256154569632765
0.679,1.273,0.2237,2.269926487148645
0.272,2.455,0.8097,24.256402266933353
0.718,2.364,0.8572,53.01048837201593
0.093,0.636,0.0057,0.009677619145018369
0.813,2.636,0.599,103.47074479527332
0.340,0.909,0.0178,0.2110077143244067
0.024,0.091,0,1.4976771482400002e-07
0.287,1.000,0.0675,0.287
0.133,1.364,0.173,0.6279477267396948
2.321,1.545,1.0454,20.43231424148196
0.456,2.000,0.4296,14.592
1.473,2.818,1.422,261.7626572566608
0.049,1.091,0.0591,0.07573904643119608
0.048,0.182,0,9.585133748736001e-06
0.103,0.818,0.0216,0.037722784539137494
0.348,0.545,0.0073,0.016732535509537502
0.372,1.818,0.3116,7.387752445052169
2.345,2.091,1.9242,93.7374232761893
0.264,0.273,0.0001,0.0004003291017245521
0.157,1.909,0.3192,3.9804236170783023
0.391,0.455,0.0016,0.007624892772940627
2.233,2.545,1.7067,238.4117504723091
0.258,1.182,0.1881,0.5952605327289394
0.394,2.464,35.7849,35.78489434428513
1.695,0.420,0.0222,0.022152163823999996
0.530,2.273,0.724,32.15681656215698
0.153,1.747,2.4898,2.4897512307840275
3.987,0.437,0,0.06354090857177055
1.037,1.727,1.0506,15.930904867988412
1.783,1.981,54.3968,54.396846175328555
0.448,2.727,0.8056,67.56218768297707
