n0,t,p,n5,n-inf,n5_expected,n10_expected,n30_expected,n50_expected,n150_expected
0.5,1,2,0,0,0,0,0,0,0.0
10,1.1,3,0,0,0,0,0,0,0.0
0.5,1.1,1,0.1689,0.1,0.1689,0.1305,0.1028,0.1003,0.1
10,1,2,0,0,0,0,0,0,0.0
0.5,1.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.1,2,2,0.4996,0.5,0.4996,0.5,0.5,0.5,0.5
0.5,1.5,0.5,0.9485,1,0.9485,0.9982,1,1,1.0
0.5,3,1,1.797,2,1.797,2.145,2.1041,2.086,2.0538
0.5,3,2,1,1,1,1,1,1,1.0
1.717,1.121,1.439,0,0,0,0,0,0,0.0
0.679,1.636,1.189,0.5353,0.5349,0.5353,0.5349,0.5349,0.5349,0.5349
4.593,1.357,1.232,0,0,0,0,0,0,0.0
0.076,0.364,0.308,0.0004,0,0.0004,0,0,0,0.0
2.759,2.018,0.691,1.4463,1.4732,1.4463,1.4732,1.4732,1.4732,1.4732
1.047,1.071,0,1.4753,inf,1.4753,2.0789,8.1965,32.3162,30786.9954
1.728,2.909,1.622,1.0672,1.1769,1.0672,1.2294,1.1847,1.1781,1.1769
0.291,2.182,2.231,0.5298,0.5298,0.5298,0.5298,0.5298,0.5298,0.5298
0.307,0.727,1.598,0.0138,0,0.0138,0.0026,0,0,0.0
6.418,1.155,2.908,0,0,0,0,0,0,0.0
0.648,1.455,1.604,0.2823,0.2837,0.2823,0.2836,0.2837,0.2837,0.2837
0.679,1.273,1.292,0.2237,0.2113,0.2237,0.2137,0.2113,0.2113,0.2113
0.272,2.455,1.799,0.8097,0.8088,0.8097,0.8088,0.8088,0.8088,0.8088
0.718,2.364,1.592,0.8572,0.8568,0.8572,0.8568,0.8568,0.8568,0.8568
0.093,0.636,1.668,0.0057,0,0.0057,0.0006,0,0,0.0
0.813,2.636,2.769,0.599,0.5908,0.599,0.59,0.5908,0.5908,0.5908
0.34,0.909,2.37,0.0178,0,0.0178,0.0092,0.0011,0.0002,0.0
0.024,0.091,2.514,0,0,0,0,0,0,0.0
0.287,1,1.664,0.0675,0,0.0675,0.0417,0.017,0.0108,0.0038
0.133,1.364,2.018,0.173,0.1804,0.173,0.1796,0.1804,0.1804,0.1804
2.321,1.545,0.513,1.0454,1.0624,1.0454,1.062,1.0624,1.0624,1.0624
0.456,2,2.328,0.4296,0.4296,0.4296,0.4296,0.4296,0.4296,0.4296
1.473,2.818,1.266,1.422,1.436,1.422,1.4411,1.4361,1.436,1.436
0.049,1.091,0.995,0.0591,0.0915,0.0591,0.068,0.0869,0.0907,0.0915
0.048,0.182,1.938,0,0,0,0,0,0,0.0
0.103,0.818,1.495,0.0216,0,0.0216,0.0069,0.0001,0,0.0
0.348,0.545,0.678,0.0073,0,0.0073,0.0003,0,0,0.0
0.372,1.818,2.625,0.3116,0.3116,0.3116,0.3116,0.3116,0.3116,0.3116
2.345,2.091,0.567,1.9242,1.9242,1.9242,1.9242,1.9242,1.9242,1.9242
0.264,0.273,0.635,0.0001,0,0.0001,0,0,0,0.0
0.157,1.909,2.847,0.3192,0.3193,0.3192,0.3193,0.3193,0.3193,0.3193
0.391,0.455,0.881,0.0016,0,0.0016,0,0,0,0.0
2.233,2.545,0.902,1.7067,1.7129,1.7067,1.7132,1.7129,1.7129,1.7129
0.258,1.182,1.103,0.1881,0.165,0.1881,0.1726,0.1651,0.165,0.165
0.394,2.464,0,35.7849,inf,35.7849,3250.1489,221165472016.786,1.50498231453551E+019,2.1958453273432277e+58
1.695,0.42,0,0.0222,0,0.0222,0.0003,0,0,0.0
0.53,2.273,1.758,0.724,0.7241,0.724,0.7241,0.7241,0.7241,0.7241
0.153,1.747,0,2.4898,inf,2.4898,40.5154,2841048.0591,199221717551.326,3.377747476986203e+35
3.987,0.437,2.068,0,0,0,0,0,0,0.0
1.037,1.727,0.692,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506
1.783,1.981,0,54.3968,inf,54.3968,1659.572,1437757392.6639,1245590020608365,6.07886745394726e+44
0.448,2.727,2.132,0.8056,0.81,0.8056,0.8109,0.81,0.81,0.81
